chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1519215398_137,1519215398,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,context_window,1,blurry whirl,5.0,direct
1519215398_138,1519215398,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,context_window,0,ducking butterfly,4.0,direct
1519215398_138,1519215398,2018,6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,context_window,1,blurry whirl,5.0,direct
1519215398_140,1519215398,2018,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,context_window,0,whirl,3.0,direct
1519215398_140,1519215398,2018,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,context_window,1,blurriest,5.0,direct
1519215398_140,1519215398,2018,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,context_window,2,blurry whirl,5.0,direct
1519215398_144,1519215398,2018,f4f5b8d0-c503-5ae5-8ce5-c5ff07d630c4,Bruce Li,context_window,0,atom smasher,4.0,direct
1519215398_144,1519215398,2018,f4f5b8d0-c503-5ae5-8ce5-c5ff07d630c4,Bruce Li,context_window,1,mirage,2.0,direct
1531284609_85,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,0,eggbeater,3.0,direct
1531284609_85,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,1,pixie,2.0,direct
1531284609_85,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,2,torque,4.0,direct
1531284609_87,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,0,atomic,,unscored
1531284609_87,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,1,blurry whirl,5.0,direct
1531284609_87,1531284609,2018,8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,context_window,2,spinning,,unscored
1536221908_15,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,0,atomic,,unscored
1536221908_15,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,1,ducking butterfly,4.0,direct
1536221908_15,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,2,stepping,,unscored
1536221908_16,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,0,eggbeater,3.0,direct
1536221908_16,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,1,pixie,2.0,direct
1536221908_16,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,2,torque,4.0,direct
1536221908_17,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,0,butterfly,3.0,direct
1536221908_17,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,1,blurry whirl,5.0,direct
1536221908_17,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,2,spinning,,unscored
1536221908_18,1536221908,2018,8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,context_window,0,torque,4.0,direct
