chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,original_length,normalized_length,tokens_consumed_by_merges,merges_performed,scored_count,unscored_count,sequence_add,avg_add,max_add,tricks_normalized
1176650845_12,1176650845,2007,77de2a9d-0785-5fea-bc31-e614ae622492,Benny Kellman,,direct,3,3,0,0,2,1,5.0,1.667,3.0,clipper>spinning clipper>spinning
1176650845_13,1176650845,2007,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,,direct,3,3,0,0,3,0,11.0,3.667,4.0,torque>swirl>spinning osis
1177512537_22,1177512537,2007,1f864e5e-28bc-5370-8f30-49bc3c65c64c,Jeremy Masselis,,direct,3,3,0,0,3,0,10.0,3.333,4.0,torque>drifter>swirl
1181021804_18,1181021804,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,direct,3,3,0,0,2,1,6.0,2.0,3.0,whirl>whirl>spinning
1181021804_19,1181021804,2007,8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,,direct,3,3,0,0,3,0,13.0,4.333,5.0,blurry whirl>blurry whirl>whirl
1181021804_20,1181021804,2007,de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,,direct,2,2,0,0,1,1,4.0,2.0,4.0,atomic>blur
1181021804_21,1181021804,2007,10f0e26c-4ec9-5916-bc9b-ff587c0681d4,Eric Chan,,direct,2,2,0,0,2,0,6.0,3.0,3.0,rev whirl>rev whirl
1181021804_27,1181021804,2007,6c5ddac5-178d-56b9-a514-ee66d1b24a16,Tony Whitney,,direct,3,3,0,0,3,0,10.0,3.333,4.0,smear>dimwalk>whirl
1181021804_28,1181021804,2007,17fc25c9-e348-5e57-8e6a-e3e974cc28e9,Denton Louis,,direct,2,2,0,0,2,0,4.0,2.0,2.0,legover>mirage
1183729267_169,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,3,3,0,0,1,2,3.0,1.0,3.0,ducking mirage>ducking>paradox
1183729267_171,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,2,2,0,0,1,1,6.0,3.0,6.0,food processor>ducking
1183729267_172,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,2,2,0,0,2,0,11.0,5.5,6.0,food processor>superfly
1183729267_173,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,2,2,0,0,2,0,4.0,2.0,2.0,legover>legover
1183729267_175,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,3,3,0,0,2,1,8.0,2.667,5.0,drifter>blurry whirl>paradox
1183729267_176,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,3,3,0,0,2,1,7.0,2.333,4.0,symposium>symposium whirl>whirl
