event_id,event_name,year,issue_class,severity,note,n_placements,n_divisions,has_dup_places,has_round_kw,place_reset_count,has_mirror_manual,results_raw_len
1439332196,XV IFPA Polish Footbag Championships,2015,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Request Contest"", ""Sick 3"", 6 dup pairs)",58,12,1,0,14,1,1472
1449259560,37th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2016,2016,POOL_FINALS_MERGED,severe,"pool+finals results merged (8 divisions, 68 dup pairs, 172 affected rows)",167,13,1,0,14,1,6569
1467142686,16th Annual Polish Footbag Championships,2016,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Open Circle Contest"", ""Request Contest"", 5 dup pairs)",47,9,1,0,11,1,1314
1471686537,38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2017,2017,MERGED_DIVISION_RESULTS,severe,"division results merged (""2-Square"", ""Masters Doubles Net"", ""Women's Singles Net"", 5 dup pairs)",125,14,1,0,14,1,3231
1473853257,Malopolska Footbag Championships 2016 // Mistrzostwa Ma³opolski w Zo¶kê 2016,2016,MERGED_DIVISION_RESULTS,moderate,"division results merged (""Doubles Kicking"", ""Footbag Golf"", 5 dup pairs)",42,5,1,0,6,1,1177
1485863923,17th Annual Polish Footbag Championships,2017,POOL_FINALS_MERGED,severe,"pool+finals results merged (6 divisions, 16 dup pairs, 69 affected rows)",100,11,1,0,12,1,2891
1487797845,19th Annual IFPA European Footbag Championships,2017,MERGED_DIVISION_RESULTS,severe,"division results merged (""Mixed Doubles Net"", ""Open Routines"", 7 dup pairs)",167,11,1,1,15,1,5646
1518200935,20th Annual IFPA European Footbag Championships,2018,POOL_FINALS_MERGED,severe,"pool+finals results merged (2 divisions, 12 dup pairs, 35 affected rows)",101,10,1,0,10,1,2515
1519215398,39th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2018,2018,POOL_FINALS_MERGED,severe,"pool+finals results merged (5 divisions, 19 dup pairs, 78 affected rows)",161,16,1,0,8,1,3813
1527557123,Suramericano de Footbag Net y Freestyle,2018,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Open Doubles",15,3,1,0,4,1,372
1537994275,2o Torneo Nacional de Footbag,2018,MINOR_TIES_MERGED,minor,"minor: 3 duplicate place(s) in ""Open Doubles",18,3,1,0,2,1,708
